STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL_CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL_VOTES,POSTAL_VOTES,TOTAL_VOTES,OVER_TOTAL_ELECTORS_IN_CONSTITUENCY,OVER_TOTAL_VOTES_POLLED_IN_CONSTITUENCY,TOTAL_ELECTORS,LITERATE
JHARKHAND,LOHARDAGA,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,10770,13,10783,0.873622483,1.317624,1234286,Not Available
JHARKHAND,LOHARDAGA,SANJAY ORAON,0,IND,AIR CONDITIONER,MALE,0,41,ST,8th Pass,1352000,0,10658,5,10663,0.863900263,1.302960652,1234286,Literate
JHARKHAND,LOHARDAGA,DINESH ORAON,0,AITC,FLOWERS AND GRASS,MALE,0,26,ST,12th Pass,9232000,800000,9500,143,9643,0.781261393,1.178322195,1234286,Literate
JHARKHAND,LOHARDAGA,RAGHUNATH MAHLI,0,IND,TRACTOR CHALATA KISAN,MALE,0,47,ST,8th Pass,1804321,250000,8948,2,8950,0.725115573,1.093641361,1234286,Literate
UTTAR PRADESH,LUCKNOW,Rajnath Singh,1,BJP,LOTUS,MALE,0,67,GENERAL,Post Graduate,51492709,0,627881,5145,633026,31.0251048,56.64003293,2040367,Literate
UTTAR PRADESH,LUCKNOW,Poonam Shatrughan Sinha,0,SP,BICYCLE,FEMALE,1,68,GENERAL,Graduate,1935459756,284863762,282858,2866,285724,14.00355916,25.56516915,2040367,Literate
UTTAR PRADESH,LUCKNOW,Acharya Pramod Krishnam,0,INC,HAND,MALE,0,56,GENERAL,Post Graduate,49765383,0,178904,1107,180011,8.822481446,16.1064932,2040367,Literate
PUNJAB,LUDHIANA,RAVNEET SINGH BITTU,1,INC,HAND,MALE,3,43,GENERAL,12th Pass,54281096,3331266,383284,511,383795,22.79981584,36.65576276,1683325,Literate
PUNJAB,LUDHIANA,SIMARJEET SINGH BAINS,0,LIP,LETTER BOX,MALE,8,48,GENERAL,Graduate,123412923,12443000,306786,637,307423,18.26284289,29.36157207,1683325,Literate
PUNJAB,LUDHIANA,MAHESHINDER SINGH GREWAL,0,SAD,SCALES,MALE,0,69,GENERAL,Graduate,41621765,0,298963,472,299435,17.78830588,28.59864855,1683325,Literate
PUNJAB,LUDHIANA,PROF. TEJ PAL SINGH GILL,0,AAP,BROOM,MALE,0,32,GENERAL,Doctorate,1902817,0,15794,151,15945,0.947232412,1.522886273,1683325,Literate
PUNJAB,LUDHIANA,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,10458,80,10538,0.626022901,1.006470715,1683325,Not Available
UTTAR PRADESH,MACHHLISHAHR,Bholanath (B.P. Saroj),1,BJP,LOTUS,MALE,0,58,SC,Graduate,259027394,11194163,487093,1304,488397,26.42403368,47.16943047,1848306,Literate
UTTAR PRADESH,MACHHLISHAHR,Tribhuvan Ram (T.Ram),0,BSP,ELEPHANT,MALE,1,70,SC,Graduate,102095537,11700000,486763,1453,488216,26.41424093,47.15194947,1848306,Literate
UTTAR PRADESH,MACHHLISHAHR,Raj Nath,0,SBSP,WALKING STICK,MALE,0,70,SC,Post Graduate,4441330,0,11212,11,11223,0.607204651,1.083918448,1848306,Literate
UTTAR PRADESH,MACHHLISHAHR,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,10812,18,10830,0.585941938,1.045962469,1848306,Not Available
ANDHRA PRADESH,MACHILIPATNAM,BALASHOWRY VALLABHANENI,1,YSRCP,CEILING FAN,MALE,2,50,GENERAL,Post Graduate,990575840,746310844,567592,5258,572850,38.88086106,45.99165671,1473347,Literate
ANDHRA PRADESH,MACHILIPATNAM,KONAKALLA NARAYANA RAO,0,TDP,BICYCLE,MALE,0,68,GENERAL,12th Pass,58649214,16809408,509887,2725,512612,34.79234695,41.1554074,1473347,Literate
ANDHRA PRADESH,MACHILIPATNAM,BANDREDDI RAMAKRISHNA,0,JNP,GLASS TUMBLER,MALE,0,44,GENERAL,Post Graduate,100800000,37600000,112566,876,113442,7.699611836,9.107769086,1473347,Literate
ANDHRA PRADESH,MACHILIPATNAM,NOTA,0,NOTA,,,-1,0,,Not Available,0,0,14067,34,14101,0.95707257,1.132108495,1473347,Not Available
MAHARASHTRA,MADHA,Ranjeetsinha Hindurao Naik- Nimbalkar,1,BJP,LOTUS,MALE,2,42,GENERAL,12th Pass,1275160578,896315287,583191,3123,586314,30.70391616,48.14443478,1909574,Literate
